product_id,product_name,category,unit_price,unit_cost,margin_rate,base_daily_demand,impulse_score,space_required_cm,perishable
22423,Regency Cakestand 3 Tier,Kitchen,12.75,8.41,0.34,45.5,0.94,42,False
23843,"Paper Craft , Little Birdie",Stationery,2.08,1.29,0.38,265.56,0.996,24,False
85123A,White Hanging Heart T-Light Holder,Home Decor,2.95,1.65,0.44,123.48,0.983,42,False
47566,Party Bunting,General Merchandise,4.95,3.46,0.3,59.98,0.952,32,False
85099B,Jumbo Bag Red Retrospot,Toys & Gifts,2.08,1.46,0.3,158.93,0.978,32,False
23166,Medium Ceramic Top Storage Jar,Kitchen,1.25,0.82,0.34,255.85,0.98,42,False
23084,Rabbit Night Light,General Merchandise,2.08,1.46,0.3,100.94,0.963,32,False
22086,Paper Chain Kit 50'S Christmas,Stationery,2.95,1.83,0.38,63.46,0.942,24,False
84879,Assorted Colour Bird Ornament,General Merchandise,1.69,1.18,0.3,119.54,0.959,32,False
79321,Chilli Lights,General Merchandise,5.75,4.02,0.3,33.79,0.85,32,False
22502,Picnic Basket Wicker Small,General Merchandise,5.95,4.16,0.3,6.36,0.649,32,False
22197,Popcorn Holder,General Merchandise,0.85,0.6,0.3,186.63,0.956,32,False
23298,Spotty Bunting,General Merchandise,4.95,3.46,0.3,27.78,0.805,32,False
22386,Jumbo Bag Pink Polkadot,Toys & Gifts,2.08,1.46,0.3,70.38,0.926,32,False
23203,Jumbo Bag Vintage Doily,Stationery,2.08,1.29,0.38,67.22,0.92,24,False
21137,Black Record Cover Frame,Home Decor,3.75,2.1,0.44,38.22,0.852,42,False
23284,Doormat Keep Calm And Come In,General Merchandise,7.95,5.56,0.3,18.0,0.724,32,False
22720,Set Of 3 Cake Tins Pantry Design,Home Decor,4.95,2.77,0.44,24.57,0.766,42,False
22960,Jam Making Set With Jars,Kitchen,4.25,2.8,0.34,28.54,0.793,42,False
20725,Lunch Bag Red Retrospot,Toys & Gifts,1.65,1.15,0.3,64.11,0.9,32,False
82484,Wood Black Board Ant White Finish,General Merchandise,7.95,5.56,0.3,19.74,0.722,32,False
22178,Victorian Glass Hanging T-Light,General Merchandise,1.25,0.88,0.3,79.69,0.903,32,False
