product_id,product_name,category,revenue,quantity,invoices
22423,Regency Cakestand 3 Tier,Kitchen,174484.74,13879,1988
23843,"Paper Craft , Little Birdie",Stationery,168469.6,80995,1
85123A,White Hanging Heart T-Light Holder,Home Decor,104340.29000000001,37599,2189
47566,Party Bunting,General Merchandise,99504.33,18295,1685
85099B,Jumbo Bag Red Retrospot,Toys & Gifts,94340.05,48474,2089
23166,Medium Ceramic Top Storage Jar,Kitchen,81700.92000000001,78033,247
23084,Rabbit Night Light,General Merchandise,66964.99,30788,994
22086,Paper Chain Kit 50'S Christmas,Stationery,64952.29,19355,1160
84879,Assorted Colour Bird Ornament,General Merchandise,59094.93,36461,1455
79321,Chilli Lights,General Merchandise,54117.76,10306,661
23298,Spotty Bunting,General Merchandise,42548.130000000005,8327,1140
22386,Jumbo Bag Pink Polkadot,Toys & Gifts,42436.24,21465,1218
21137,Black Record Cover Frame,Home Decor,40652.13,11656,375
22502,Picnic Basket Wicker 60 Pieces,General Merchandise,39619.5,61,2
23284,Doormat Keep Calm And Come In,General Merchandise,38166.64,5491,728
22720,Set Of 3 Cake Tins Pantry Design,Home Decor,38158.39,7493,1385
22960,Jam Making Set With Jars,Kitchen,37128.88,8706,1132
82484,Wood Black Board Ant White Finish,General Merchandise,36030.22,6020,685
20725,Lunch Bag Red Retrospot,Toys & Gifts,35752.01,19353,1564
22197,Popcorn Holder,General Merchandise,34298.87,36761,803
22178,Victorian Glass Hanging T-Light,General Merchandise,33187.97,24304,1037
22114,Hot Water Bottle Tea And Sympathy,Beverages,33002.590000000004,5747,643
22910,Paper Chain Kit Vintage Christmas,Stationery,32873.340000000004,10604,820
22112,Chocolate Hot Water Bottle,Beverages,32866.18,6025,858
85099F,Jumbo Bag Strawberry,Toys & Gifts,32570.47,17273,812
22469,Heart Of Wicker Small,Home Decor,32107.8,17971,1201
23245,Set Of 3 Regency Cake Tins,Kitchen,31177.95,6357,873
21931,Jumbo Storage Bag Suki,Toys & Gifts,30770.12,13654,1184
22727,Alarm Clock Bakelike Red,Home Decor,30701.12,7815,1051
23199,Jumbo Bag Apples,Toys & Gifts,30475.65,14920,978
22470,Heart Of Wicker Large,Home Decor,30139.410000000003,9901,925
22355,Charlotte Bag Suki Design,Home Decor,29277.95,18152,882
22699,Roses Regency Teacup And Saucer,Beverages,29095.27,9877,1065
23355,Hot Water Bottle Keep Calm,Beverages,28842.55,5841,782
22411,Jumbo Shopper Vintage Red Paisley,Stationery,28634.95,12602,1175
22457,Natural Slate Heart Chalkboard,Home Decor,28147.960000000003,9172,1249
85099C,Jumbo  Bag Baroque Black White,Toys & Gifts,28092.2,13922,933
20685,Doormat Red Retrospot,General Merchandise,28082.54,4092,696
23201,Jumbo Bag Alphabet,Toys & Gifts,27890.170000000002,13379,906
22726,Alarm Clock Bakelike Green,Home Decor,27196.53,6430,980
84347,Rotating Silver Angels T-Light Hldr,General Merchandise,26463.83,9476,449
21915,Red  Harmonica In Box,Toys & Gifts,26331.58,21933,661
22666,Recipe Box Pantry Yellow Design,Home Decor,26240.600000000002,8276,1111
21175,Gin + Tonic Diet Metal Sign,Home Decor,25836.57,11727,759
22629,Spaceboy Lunch Box,Toys & Gifts,25740.469999999998,14260,900
22961,Jam Making Set Printed,Toys & Gifts,25660.98,16412,1162
48138,Doormat Union Flag,General Merchandise,25609.6,3762,616
21181,Please One Person Metal Sign,Home Decor,25290.58,12305,845
23173,Regency Teapot Roses,Beverages,24918.93,2770,416
21621,Vintage Union Jack Bunting,Stationery,24542.83,2789,475
