feature,importance
stock_on_hand,0.9833629060395677
inventory_pressure,0.016564249643944935
store_id_UK_ONLINE,3.572137393474403e-05
lag_7_units,1.3545991479889355e-05
unit_price,5.285460422146221e-06
week_of_year,5.176942345541311e-06
rolling_28_units,4.092796523853874e-06
rolling_7_units,3.616103767192475e-06
rainfall_mm,1.6147107501073347e-06
temperature_c,1.15681667005458e-06
day_of_week,8.734911751138239e-07
is_weekend,2.9530762064343477e-07
shelf_score,2.7301423077178897e-07
category_Toys & Gifts,1.6105176934883394e-07
month,1.52194181098628e-07
quarter,7.714481064607543e-08
shelf_level_eye,7.486561524082433e-08
store_id_EIRE,6.658376836469978e-08
category_General Merchandise,6.384650545502399e-08
shelf_level_waist,3.961017457252287e-08
shelf_level_top,3.7059275544627884e-08
product_id_79321,3.662047934601182e-08
store_id_GERMANY,3.5676894799906153e-08
product_id_22139,2.7743660092015774e-08
category_Kitchen,2.7372135766276378e-08
category_Home Decor,2.6204610138288154e-08
product_id_22138,2.2745796535593294e-08
product_id_84997B,2.0717980788054084e-08
product_id_84997D,2.0444836874466296e-08
product_id_82483,1.9484973768659725e-08
